INTENDENCIA;ANIO;  NUMERADOR  ;  DENOMINADOR  ;EFICIENCIA
ILM;2020;80;1958;4.1
ILM;2021;380;3384;11.2
ILM;2022;394;4285;9.2
ILM;2023;426;6408;6.6
ILM;2024;402;3264;12.3
ILM;2025;156;2473;6.3
CAL;2020;48;224;21.4
CAL;2021;103;474;21.7
CAL;2022;82;393;20.9
CAL;2023;60;608;9.9
CAL;2024;78;551;14.2
CAL;2025;17;172;9.9
LIB;2020;30;367;8.2
LIB;2021;52;667;7.8
LIB;2022;59;811;7.3
LIB;2023;78;793;9.8
LIB;2024;102;681;15
LIB;2025;49;549;8.9
AQP;2020;9;142;6.3
AQP;2021;40;244;16.4
AQP;2022;52;627;8.3
AQP;2023;57;729;7.8
AQP;2024;56;603;9.3
AQP;2025;32;469;6.8
CAJ;2020;18;186;9.7
CAJ;2021;42;426;9.9
CAJ;2022;38;397;9.6
CAJ;2023;39;330;11.8
CAJ;2024;51;353;14.4
CAJ;2025;11;134;8.2
ANC;2020;2;20;10
ANC;2021;24;127;18.9
ANC;2022;40;238;16.8
ANC;2023;42;400;10.5
ANC;2024;71;824;8.6
ANC;2025;11;158;7
CUS;2020;16;223;7.2
CUS;2021;49;481;10.2
CUS;2022;29;443;6.5
CUS;2023;37;549;6.7
CUS;2024;23;395;5.8
CUS;2025;11;213;5.2
ICA;2020;15;300;5
ICA;2021;23;202;11.4
ICA;2022;18;182;9.9
ICA;2023;51;365;14
ICA;2024;35;324;10.8
ICA;2025;21;146;14.4
LIM;2020;10;163;6.1
LIM;2021;20;351;5.7
LIM;2022;35;372;9.4
LIM;2023;43;387;11.1
LIM;2024;35;366;9.6
LIM;2025;19;260;7.3
LAM;2020;8;132;6.1
LAM;2021;22;233;9.4
LAM;2022;53;674;7.9
LAM;2023;34;531;6.4
LAM;2024;23;345;6.7
LAM;2025;10;142;7
PIU;2020;3;94;3.2
PIU;2021;38;376;10.1
PIU;2022;17;313;5.4
PIU;2023;27;403;6.7
PIU;2024;49;590;8.3
PIU;2025;10;193;5.2
TAC;2021;27;189;14.3
TAC;2022;28;181;15.5
TAC;2023;29;362;8
TAC;2024;28;294;9.5
TAC;2025;18;116;15.5
JUN;2020;3;36;8.3
JUN;2021;17;185;9.2
JUN;2022;13;283;4.6
JUN;2023;24;441;5.4
JUN;2024;35;638;5.5
JUN;2025;7;246;2.8
PUN;2020;19;109;17.4
PUN;2021;10;143;7
PUN;2022;9;121;7.4
PUN;2023;22;156;14.1
PUN;2024;19;296;6.4
PUN;2025;11;167;6.6
MOQ;2020;8;125;6.4
MOQ;2021;15;214;7
MOQ;2022;19;199;9.5
MOQ;2023;25;157;15.9
MOQ;2024;16;191;8.4
MOQ;2025;7;72;9.7
UCA;2021;7;199;3.5
UCA;2022;20;244;8.2
UCA;2023;27;364;7.4
UCA;2024;23;341;6.7
UCA;2025;7;164;4.3
SMA;2020;0;41;0
SMA;2021;15;291;5.2
SMA;2022;20;238;8.4
SMA;2023;9;126;7.1
SMA;2024;11;157;7
SMA;2025;6;85;7.1
HUA;2020;9;63;14.3
HUA;2021;7;187;3.7
HUA;2022;8;104;7.7
HUA;2023;13;102;12.7
HUA;2024;16;196;8.2
HUA;2025;6;160;3.8
AYA;2020;2;25;8
AYA;2021;2;92;2.2
AYA;2022;16;549;2.9
AYA;2023;16;193;8.3
AYA;2024;15;332;4.5
AYA;2025;7;130;5.4
MDS;2020;2;14;14.3
MDS;2021;10;92;10.9
MDS;2022;17;139;12.2
MDS;2023;10;138;7.2
MDS;2024;15;94;16
MDS;2025;1;36;2.8
AMZ;2021;2;50;4
AMZ;2022;6;36;16.7
AMZ;2023;15;181;8.3
AMZ;2024;17;181;9.4
AMZ;2025;8;77;10.4
HCA;2021;14;89;15.7
HCA;2022;3;51;5.9
HCA;2023;18;106;17
HCA;2024;7;106;6.6
HCA;2025;4;38;10.5
APU;2021;11;120;9.2
APU;2022;7;67;10.4
APU;2023;13;272;4.8
APU;2024;8;98;8.2
APU;2025;3;45;6.7
TUM;2020;6;59;10.2
TUM;2021;11;96;11.5
TUM;2022;4;74;5.4
TUM;2023;8;143;5.6
TUM;2024;6;108;5.6
TUM;2025;6;69;8.7
PAS;2020;0;2;0
PAS;2021;12;144;8.3
PAS;2022;7;142;4.9
PAS;2023;7;79;8.9
PAS;2024;11;92;12
PAS;2025;2;61;3.3
LOR;2020;9;59;15.3
LOR;2021;1;96;1
LOR;2022;1;55;1.8
LOR;2023;12;110;10.9
LOR;2024;9;137;6.6
LOR;2025;6;66;9.1
